1 0 1 1 6 3 3 1 1 1 1 1
2 760.7439997 1 2 1 1 3 1 1 1 1 1
3 1007.335 1 3 3 2 3 1 1 1 1 0
4 1048.01 0 4 6 5 3 1 1 1 1 0
5 1295.243 1 5 2 3 3 1 1 1 1 0
6 1520.173 1 6 0 5 3 0 0 1 0 0
7 1577.752 1 5 0 0 3 0 0 0 0 1
8 1816.487 1 8 1 3 3 0 0 0 1 0
9 2075.415 1 4 0 5 4 1 1 1 1 1
10 2450.442 1 3 3 3 0 0 1 0 1 1
11 2479.401 1 11 0 4 1 0 0 0 1 1
12 2793.208 1 10 1 1 3 1 1 0 0 0
13 2894.193 1 12 0 4 1 0 0 0 1 1
14 3131.372 1 3 1 1 3 0 0 0 0 1
15 3473.696 1 9 0 3 1 1 0 1 1 1
16 3818.842 1 2 1 3 3 1 1 1 1 1
17 4357.803 1 4 1 2 4 0 0 0 1 0
18 4406.251 1 7 0 3 1 1 1 0 0 1
19 5058.993 1 11 0 4 3 0 0 0 1 0
20 6362.288 0 4 1 5 3 0 0 1 1 0
21 6439.324 0 3 1 4 3 0 0 0 0 1
22 7194.975 0 13 1 3 1 0 0 0 1 0
23 7274.854 1 3 1 1 4 1 0 0 0 0
24 9195.559999 0 9 1 2 3 0 0 1 1 0
25 9578.085 1 3 1 3 0 0 0 0 0 1
26 10816.741 0 3 1 1 1 0 0 0 1 0
27 11036.589 1 2 6 1 3 1 1 1 1 1
28 11524.608 0 2 2 3 3 0 0 0 0 1
29 13983.103 1 14 1 1 3 1 0 0 1 0
30 19682.209 1 3 1 3 3 0 0 1 1 0
31 27539.268 1 7 0 2 3 1 0 1 1 1
32 28479 1 2 0 4 1 0 0 0 0 0
33 30017.428 1 1 0 4 1 0 0 0 1 1
34 34851.905 1 3 2 1 3 1 1 1 1 1
35 62339.63 0 2 6 3 1 1 1 0 0 0
36 63823.454 1 15 0 4 1 0 0 0 1 0
37 66018.933 1 4 1 1 3 0 0 0 1 0
38 67111.337 1 8 1 1 3 0 0 0 0 0
39 69069.535 1 1 0 4 1 0 0 0 0 1
40 69355.029 0 4 0 4 1 0 0 0 0 0
41 69682.024 0 2 0 1 1 0 0 0 0 1
42 71501.536 1 0 0 4 1 0 0 0 0 0
43 72773.701 1 12 5 2 3 1 1 1 1 1
44 73823.928 0 5 0 3 3 0 0 1 1 0
45 77450.746 1 3 1 1 3 0 0 0 1 1
46 84137.47 1 1 6 2 3 1 1 1 1 0
